time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
1970-01-01 01:00:00	36	9	1532	4609	42.00	512.00
1970-01-01 01:00:01	31	12	1345	6358	43.00	529.00
1970-01-01 01:00:02	36	8	1508	4334	41.00	541.00
1970-01-01 01:00:03	32	11	1411	5968	44.00	542.00
1970-01-01 01:00:04	34	9	1572	4973	46.00	552.00
1970-01-01 01:00:05	38	7	1649	3500	43.00	500.00
1970-01-01 01:00:06	28	5	1231	2691	43.00	538.00
1970-01-01 01:00:07	34	8	1443	4104	42.00	513.00
1970-01-01 01:00:08	32	11	1364	5849	42.00	531.00
1970-01-01 01:00:09	33	9	1418	4833	42.00	537.00
1970-01-01 01:00:10	32	11	1345	5683	42.00	516.00
1970-01-01 01:00:11	35	8	1496	4126	42.00	515.00
1970-01-01 01:00:12	22	11	960	5920	43.00	538.00
1970-01-01 01:00:13	32	10	1404	4887	43.00	488.00
1970-01-01 01:00:14	26	9	1195	4517	45.00	501.00
1970-01-01 01:00:15	38	8	1606	3987	42.00	498.00
1970-01-01 01:00:16	35	10	1552	4971	44.00	497.00
1970-01-01 01:00:17	39	12	1706	5573	43.00	464.00
1970-01-01 01:00:18	33	12	1423	5517	43.00	459.00
1970-01-01 01:00:19	37	11	1607	5145	43.00	467.00
1970-01-01 01:00:20	37	10	1624	4596	43.00	459.00
1970-01-01 01:00:21	35	11	1527	5141	43.00	467.00
1970-01-01 01:00:22	34	9	1435	4114	42.00	457.00
1970-01-01 01:00:23	34	8	1377	3756	40.00	469.00
1970-01-01 01:00:24	32	11	1423	4769	44.00	433.00
1970-01-01 01:00:25	36	11	1547	4796	42.00	436.00
1970-01-01 01:00:26	27	10	1258	4506	46.00	450.00
1970-01-01 01:00:27	34	12	1467	5008	43.00	417.00
1970-01-01 01:00:28	37	11	1572	4754	42.00	432.00
1970-01-01 01:00:29	29	11	1241	4888	42.00	444.00
1970-01-01 01:00:30	35	11	1529	4637	43.00	421.00
1970-01-01 01:00:31	36	11	1555	4702	43.00	427.00
1970-01-01 01:00:32	29	11	1256	4674	43.00	424.00
1970-01-01 01:00:33	37	11	1691	4726	45.00	429.00
1970-01-01 01:00:34	35	11	1542	4606	44.00	418.00
1970-01-01 01:00:35	45	12	2051	5022	45.00	418.00
1970-01-01 01:00:36	39	11	1679	4161	43.00	378.00
1970-01-01 01:00:37	24	14	1082	5748	45.00	410.00
1970-01-01 01:00:38	41	12	1776	4912	43.00	409.00
1970-01-01 01:00:39	37	11	1660	4475	44.00	406.00
1970-01-01 01:00:40	41	10	1769	4067	43.00	406.00
1970-01-01 01:00:41	36	13	1566	5206	43.00	400.00
1970-01-01 01:00:42	34	13	1477	4755	43.00	365.00
1970-01-01 01:00:43	40	14	1709	5471	42.00	390.00
