time	in/out	protocol	payload-size	total-size
1970-01-01 01:00:00.000000	out	udp:data	47	89
1970-01-01 01:00:00.000000	in	udp:data	538	580
1970-01-01 01:00:00.024390	out	udp:data	52	94
1970-01-01 01:00:00.048780	out	udp:data	50	92
1970-01-01 01:00:00.073171	out	udp:data	33	75
1970-01-01 01:00:00.097561	out	udp:data	38	80
1970-01-01 01:00:00.121951	out	udp:data	44	86
1970-01-01 01:00:00.125000	in	udp:data	474	516
1970-01-01 01:00:00.146341	out	udp:data	44	86
1970-01-01 01:00:00.170732	out	udp:data	52	94
1970-01-01 01:00:00.195122	out	udp:data	36	78
1970-01-01 01:00:00.219512	out	udp:data	45	87
1970-01-01 01:00:00.243902	out	udp:data	39	81
1970-01-01 01:00:00.250000	in	udp:data	493	535
1970-01-01 01:00:00.268293	out	udp:data	42	84
1970-01-01 01:00:00.292683	out	udp:data	42	84
1970-01-01 01:00:00.317073	out	udp:data	50	92
1970-01-01 01:00:00.341463	out	udp:data	54	96
1970-01-01 01:00:00.365854	out	udp:data	42	84
1970-01-01 01:00:00.375000	in	udp:data	609	651
1970-01-01 01:00:00.390244	out	udp:data	32	74
1970-01-01 01:00:00.414634	out	udp:data	46	88
1970-01-01 01:00:00.439024	out	udp:data	54	96
1970-01-01 01:00:00.463415	out	udp:data	57	99
1970-01-01 01:00:00.487805	out	udp:data	54	96
1970-01-01 01:00:00.500000	in	udp:data	508	550
1970-01-01 01:00:00.512195	out	udp:data	48	90
1970-01-01 01:00:00.536585	out	udp:data	37	79
1970-01-01 01:00:00.560976	out	udp:data	37	79
1970-01-01 01:00:00.585366	out	udp:data	34	76
1970-01-01 01:00:00.609756	out	udp:data	50	92
1970-01-01 01:00:00.625000	in	udp:data	493	535
1970-01-01 01:00:00.634146	out	udp:data	45	87
1970-01-01 01:00:00.658537	out	udp:data	40	82
1970-01-01 01:00:00.682927	out	udp:data	47	89
1970-01-01 01:00:00.707317	out	udp:data	30	72
1970-01-01 01:00:00.731707	out	udp:data	27	69
1970-01-01 01:00:00.750000	in	udp:data	551	593
1970-01-01 01:00:00.756098	out	udp:data	36	78
1970-01-01 01:00:00.780488	out	udp:data	53	95
1970-01-01 01:00:00.804878	out	udp:data	40	82
1970-01-01 01:00:00.829268	out	udp:data	39	81
1970-01-01 01:00:00.853659	out	udp:data	43	85
1970-01-01 01:00:00.875000	in	udp:data	520	562
1970-01-01 01:00:00.878049	out	udp:data	42	84
1970-01-01 01:00:00.902439	out	udp:data	37	79
1970-01-01 01:00:00.926829	out	udp:data	41	83
1970-01-01 01:00:00.951220	out	udp:data	50	92
1970-01-01 01:00:00.975610	out	udp:data	65	107
1970-01-01 01:00:01.000000	out	udp:data	37	79
1970-01-01 01:00:01.000000	in	udp:data	554	596
1970-01-01 01:00:01.033333	out	udp:data	56	98
1970-01-01 01:00:01.066667	out	udp:data	48	90
1970-01-01 01:00:01.100000	out	udp:data	43	85
1970-01-01 01:00:01.100000	in	udp:data	558	600
1970-01-01 01:00:01.133333	out	udp:data	52	94
1970-01-01 01:00:01.166667	out	udp:data	54	96
1970-01-01 01:00:01.200000	out	udp:data	43	85
1970-01-01 01:00:01.200000	in	udp:data	624	666
1970-01-01 01:00:01.233333	out	udp:data	60	102
1970-01-01 01:00:01.266667	out	udp:data	52	94
1970-01-01 01:00:01.300000	out	udp:data	38	80
1970-01-01 01:00:01.300000	in	udp:data	493	535
1970-01-01 01:00:01.333333	out	udp:data	41	83
1970-01-01 01:00:01.366667	out	udp:data	33	75
1970-01-01 01:00:01.400000	out	udp:data	55	97
1970-01-01 01:00:01.400000	in	udp:data	599	641
1970-01-01 01:00:01.433333	out	udp:data	49	91
1970-01-01 01:00:01.466667	out	udp:data	35	77
1970-01-01 01:00:01.500000	out	udp:data	45	87
1970-01-01 01:00:01.500000	in	udp:data	594	636
1970-01-01 01:00:01.533333	out	udp:data	79	121
1970-01-01 01:00:01.566667	out	udp:data	48	90
1970-01-01 01:00:01.600000	out	udp:data	36	78
1970-01-01 01:00:01.600000	in	udp:data	546	588
1970-01-01 01:00:01.633333	out	udp:data	40	82
1970-01-01 01:00:01.666667	out	udp:data	29	71
1970-01-01 01:00:01.700000	out	udp:data	46	88
1970-01-01 01:00:01.700000	in	udp:data	391	433
1970-01-01 01:00:01.733333	out	udp:data	46	88
1970-01-01 01:00:01.766667	out	udp:data	46	88
1970-01-01 01:00:01.800000	out	udp:data	37	79
1970-01-01 01:00:01.800000	in	udp:data	453	495
