time	in/out	protocol	payload-size	total-size
2018-02-08 17:25:12.746374	out	udp:data	25	67
2018-02-08 17:25:12.814373	in	udp:data	25	67
2018-02-08 17:25:12.826409	out	udp:data	25	67
2018-02-08 17:25:12.865460	in	udp:data	25	67
2018-02-08 17:25:12.876894	out	udp:data	84	126
2018-02-08 17:25:13.076463	out	udp:data	3	45
2018-02-08 17:25:13.078406	in	udp:data	6	48
2018-02-08 17:25:13.093115	out	udp:data	6	48
2018-02-08 17:25:13.109761	out	udp:data	6	48
2018-02-08 17:25:13.148692	in	udp:data	9	51
2018-02-08 17:25:13.151759	in	udp:data	9	51
2018-02-08 17:25:13.151760	in	udp:data	33	75
2018-02-08 17:25:13.159951	out	udp:data	17	59
2018-02-08 17:25:13.160084	out	udp:data	1009	1051
2018-02-08 17:25:13.160167	out	udp:data	1009	1051
2018-02-08 17:25:13.160213	out	udp:data	257	299
2018-02-08 17:25:13.160255	out	udp:data	17	59
2018-02-08 17:25:13.176616	out	udp:data	17	59
2018-02-08 17:25:13.263970	in	udp:data	81	123
2018-02-08 17:25:13.276615	out	udp:data	33	75
2018-02-08 17:25:13.281739	in	udp:data	33	75
2018-02-08 17:25:13.482075	in	udp:data	17	59
2018-02-08 17:25:13.527205	in	udp:data	17	59
2018-02-08 17:25:13.752638	in	udp:data	17	59
2018-02-08 17:25:13.953631	in	udp:data	17	59
2018-02-08 17:25:14.026216	out	udp:data	17	59
2018-02-08 17:25:14.026480	out	udp:data	33	75
2018-02-08 17:25:14.031242	out	udp:data	33	75
2018-02-08 17:25:14.107205	in	udp:data	193	235
2018-02-08 17:25:14.107205	in	udp:data	289	331
2018-02-08 17:25:14.107206	in	udp:data	289	331
2018-02-08 17:25:14.107206	in	udp:data	385	427
2018-02-08 17:25:14.107206	in	udp:data	561	603
2018-02-08 17:25:14.107208	in	udp:data	513	555
2018-02-08 17:25:14.107208	in	udp:data	209	251
2018-02-08 17:25:14.107208	in	udp:data	209	251
2018-02-08 17:25:14.107208	in	udp:data	209	251
2018-02-08 17:25:14.107209	in	udp:data	193	235
2018-02-08 17:25:14.107209	in	udp:data	177	219
2018-02-08 17:25:14.107209	in	udp:data	273	315
2018-02-08 17:25:14.107210	in	udp:data	305	347
2018-02-08 17:25:14.107210	in	udp:data	225	267
2018-02-08 17:25:14.107210	in	udp:data	209	251
2018-02-08 17:25:14.107210	in	udp:data	209	251
2018-02-08 17:25:14.107211	in	udp:data	225	267
2018-02-08 17:25:14.107211	in	udp:data	209	251
2018-02-08 17:25:14.107211	in	udp:data	209	251
2018-02-08 17:25:14.107212	in	udp:data	193	235
2018-02-08 17:25:14.107212	in	udp:data	193	235
2018-02-08 17:25:14.107212	in	udp:data	209	251
2018-02-08 17:25:14.107212	in	udp:data	193	235
2018-02-08 17:25:14.107213	in	udp:data	193	235
2018-02-08 17:25:14.107213	in	udp:data	193	235
2018-02-08 17:25:14.107213	in	udp:data	193	235
2018-02-08 17:25:14.107213	in	udp:data	209	251
2018-02-08 17:25:14.107213	in	udp:data	225	267
2018-02-08 17:25:14.107214	in	udp:data	225	267
2018-02-08 17:25:14.138826	in	udp:data	193	235
2018-02-08 17:25:14.176599	in	udp:data	305	347
2018-02-08 17:25:14.202282	out	udp:data	401	443
2018-02-08 17:25:14.204972	out	udp:data	113	155
2018-02-08 17:25:14.227422	in	udp:data	305	347
2018-02-08 17:25:14.239022	out	udp:data	17	59
2018-02-08 17:25:14.255432	out	udp:data	17	59
2018-02-08 17:25:14.364025	in	udp:data	513	555
2018-02-08 17:25:14.364028	in	udp:data	449	491
2018-02-08 17:25:14.364447	in	udp:data	337	379
2018-02-08 17:25:14.377721	out	udp:data	33	75
2018-02-08 17:25:14.388576	out	udp:data	17	59
2018-02-08 17:25:14.508613	in	udp:data	369	411
2018-02-08 17:25:14.512223	in	udp:data	225	267
2018-02-08 17:25:14.512223	in	udp:data	353	395
2018-02-08 17:25:14.527872	out	udp:data	129	171
2018-02-08 17:25:14.538458	out	udp:data	17	59
2018-02-08 17:25:14.622738	out	udp:data	33	75
2018-02-08 17:25:14.697750	in	udp:data	465	507
2018-02-08 17:25:14.704272	in	udp:data	449	491
2018-02-08 17:25:14.712684	out	udp:data	17	59
2018-02-08 17:25:14.715034	in	udp:data	241	283
2018-02-08 17:25:14.725331	out	udp:data	17	59
2018-02-08 17:25:14.739487	out	udp:data	17	59
2018-02-08 17:25:14.855429	in	udp:data	593	635
2018-02-08 17:25:14.855430	in	udp:data	561	603
2018-02-08 17:25:14.862824	in	udp:data	97	139
2018-02-08 17:25:14.873698	out	udp:data	33	75
2018-02-08 17:25:14.889643	out	udp:data	17	59
2018-02-08 17:25:15.004468	in	udp:data	625	667
2018-02-08 17:25:15.004470	in	udp:data	577	619
2018-02-08 17:25:15.007601	in	udp:data	49	91
2018-02-08 17:25:15.009716	out	udp:data	17	59
2018-02-08 17:25:15.022857	out	udp:data	17	59
2018-02-08 17:25:15.122893	out	udp:data	33	75
2018-02-08 17:25:15.157264	in	udp:data	657	699
2018-02-08 17:25:15.157265	in	udp:data	609	651
2018-02-08 17:25:15.157733	in	udp:data	49	91
2018-02-08 17:25:15.174101	out	udp:data	17	59
2018-02-08 17:25:15.189544	out	udp:data	17	59
2018-02-08 17:25:15.364386	in	udp:data	609	651
2018-02-08 17:25:15.367553	in	udp:data	465	507
2018-02-08 17:25:15.367553	in	udp:data	113	155
2018-02-08 17:25:15.377539	out	udp:data	33	75
2018-02-08 17:25:15.391780	out	udp:data	17	59
2018-02-08 17:25:15.422794	out	udp:data	49	91
2018-02-08 17:25:15.507168	in	udp:data	721	763
2018-02-08 17:25:15.507171	in	udp:data	241	283
2018-02-08 17:25:15.507171	in	udp:data	769	811
2018-02-08 17:25:15.512466	in	udp:data	529	571
2018-02-08 17:25:15.562260	out	udp:data	33	75
2018-02-08 17:25:15.567329	out	udp:data	49	91
2018-02-08 17:25:15.637350	out	udp:data	33	75
2018-02-08 17:25:15.662059	in	udp:data	465	507
2018-02-08 17:25:15.662059	in	udp:data	593	635
2018-02-08 17:25:15.667714	in	udp:data	81	123
2018-02-08 17:25:15.786494	out	udp:data	17	59
2018-02-08 17:25:15.802785	out	udp:data	17	59
2018-02-08 17:25:15.857412	in	udp:data	321	363
2018-02-08 17:25:15.857413	in	udp:data	513	555
2018-02-08 17:25:15.873058	out	udp:data	49	91
2018-02-08 17:25:15.873433	in	udp:data	289	331
2018-02-08 17:25:15.891271	out	udp:data	81	123
2018-02-08 17:25:15.911612	out	udp:data	17	59
2018-02-08 17:25:15.928868	out	udp:data	65	107
2018-02-08 17:25:15.964103	out	udp:data	65	107
2018-02-08 17:25:15.981804	out	udp:data	17	59
2018-02-08 17:25:16.001120	out	udp:data	65	107
2018-02-08 17:25:16.013093	in	udp:data	673	715
2018-02-08 17:25:16.013094	in	udp:data	705	747
2018-02-08 17:25:16.014579	in	udp:data	289	331
2018-02-08 17:25:16.022325	out	udp:data	17	59
2018-02-08 17:25:16.033009	out	udp:data	17	59
2018-02-08 17:25:16.084459	out	udp:data	65	107
2018-02-08 17:25:16.170497	out	udp:data	65	107
2018-02-08 17:25:16.207459	in	udp:data	577	619
2018-02-08 17:25:16.207462	in	udp:data	561	603
2018-02-08 17:25:16.213356	in	udp:data	417	459
2018-02-08 17:25:16.227700	out	udp:data	81	123
2018-02-08 17:25:16.241553	out	udp:data	17	59
2018-02-08 17:25:16.307956	out	udp:data	65	107
2018-02-08 17:25:16.367392	in	udp:data	625	667
2018-02-08 17:25:16.367393	in	udp:data	593	635
2018-02-08 17:25:16.367393	in	udp:data	465	507
2018-02-08 17:25:16.376846	out	udp:data	81	123
2018-02-08 17:25:16.402604	out	udp:data	17	59
2018-02-08 17:25:16.470376	out	udp:data	65	107
2018-02-08 17:25:16.553663	out	udp:data	65	107
2018-02-08 17:25:16.561256	in	udp:data	81	123
2018-02-08 17:25:16.561256	in	udp:data	481	523
2018-02-08 17:25:16.561257	in	udp:data	497	539
2018-02-08 17:25:16.561257	in	udp:data	433	475
2018-02-08 17:25:16.561258	in	udp:data	513	555
2018-02-08 17:25:16.561258	in	udp:data	113	155
2018-02-08 17:25:16.567766	in	udp:data	673	715
2018-02-08 17:25:16.574403	out	udp:data	33	75
2018-02-08 17:25:16.590529	out	udp:data	33	75
2018-02-08 17:25:16.639906	out	udp:data	65	107
2018-02-08 17:25:16.723423	out	udp:data	65	107
2018-02-08 17:25:16.767706	in	udp:data	449	491
2018-02-08 17:25:16.772218	out	udp:data	65	107
2018-02-08 17:25:16.788124	out	udp:data	17	59
2018-02-08 17:25:16.854721	out	udp:data	65	107
2018-02-08 17:25:16.927300	in	udp:data	657	699
2018-02-08 17:25:16.927301	in	udp:data	785	827
2018-02-08 17:25:16.935309	in	udp:data	177	219
2018-02-08 17:25:16.942838	out	udp:data	81	123
2018-02-08 17:25:16.958953	out	udp:data	17	59
2018-02-08 17:25:17.028715	out	udp:data	65	107
2018-02-08 17:25:17.062771	out	udp:data	97	139
2018-02-08 17:25:17.096321	out	udp:data	65	107
2018-02-08 17:25:17.129267	in	udp:data	497	539
2018-02-08 17:25:17.129269	in	udp:data	449	491
2018-02-08 17:25:17.129665	out	udp:data	65	107
2018-02-08 17:25:17.131814	in	udp:data	145	187
2018-02-08 17:25:17.150101	out	udp:data	17	59
2018-02-08 17:25:17.166066	out	udp:data	17	59
2018-02-08 17:25:17.227146	out	udp:data	65	107
2018-02-08 17:25:17.307683	in	udp:data	577	619
2018-02-08 17:25:17.307684	in	udp:data	561	603
2018-02-08 17:25:17.317953	in	udp:data	209	251
2018-02-08 17:25:17.320704	out	udp:data	65	107
2018-02-08 17:25:17.334589	out	udp:data	17	59
2018-02-08 17:25:17.355348	out	udp:data	17	59
2018-02-08 17:25:17.398799	out	udp:data	65	107
2018-02-08 17:25:17.482082	in	udp:data	593	635
2018-02-08 17:25:17.484367	in	udp:data	609	651
2018-02-08 17:25:17.484368	in	udp:data	97	139
2018-02-08 17:25:17.502869	out	udp:data	65	107
2018-02-08 17:25:17.517880	out	udp:data	17	59
2018-02-08 17:25:17.599210	out	udp:data	65	107
2018-02-08 17:25:17.699917	out	udp:data	65	107
2018-02-08 17:25:17.722166	in	udp:data	625	667
2018-02-08 17:25:17.722168	in	udp:data	529	571
2018-02-08 17:25:17.723446	in	udp:data	193	235
