time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
2018-02-08 17:25:12	3	2	134	50	44.67	25.00
2018-02-08 17:25:13	10	10	2374	239	237.40	23.90
2018-02-08 17:25:14	17	44	961	12572	56.53	285.73
2018-02-08 17:25:15	19	19	643	8275	33.84	435.53
2018-02-08 17:25:16	21	20	1061	9764	50.52	488.20
2018-02-08 17:25:17	21	15	965	6591	45.95	439.40
2018-02-08 17:25:18	20	15	916	8239	45.80	549.27
2018-02-08 17:25:19	21	8	837	3320	39.86	415.00
2018-02-08 17:25:20	24	9	984	2393	41.00	265.89
2018-02-08 17:25:21	20	5	868	1685	43.40	337.00
2018-02-08 17:25:22	22	9	902	1449	41.00	161.00
2018-02-08 17:25:23	18	5	834	1109	46.33	221.80
2018-02-08 17:25:24	23	7	967	1511	42.04	215.86
2018-02-08 17:25:25	23	7	935	1255	40.65	179.29
2018-02-08 17:25:26	20	7	868	1607	43.40	229.57
2018-02-08 17:25:27	23	8	919	1144	39.96	143.00
2018-02-08 17:25:28	25	9	1001	1657	40.04	184.11
2018-02-08 17:25:29	19	5	851	1013	44.79	202.60
2018-02-08 17:25:30	23	7	967	1015	42.04	145.00
2018-02-08 17:25:31	22	6	918	1334	41.73	222.33
2018-02-08 17:25:32	22	7	950	1495	43.18	213.57
2018-02-08 17:25:33	20	6	868	1558	43.40	259.67
2018-02-08 17:25:34	22	7	950	1239	43.18	177.00
2018-02-08 17:25:35	23	7	935	1479	40.65	211.29
2018-02-08 17:25:36	22	8	902	2760	41.00	345.00
2018-02-08 17:25:37	26	8	4794	2408	184.38	301.00
2018-02-08 17:25:38	30	13	606	701	20.20	53.92
2018-02-08 17:25:39	29	14	1469	366	50.66	26.14
2018-02-08 17:25:40	29	14	573	526	19.76	37.57
2018-02-08 17:25:41	28	13	540	381	19.29	29.31
2018-02-08 17:25:42	29	15	557	383	19.21	25.53
2018-02-08 17:25:43	31	14	591	398	19.06	28.43
2018-02-08 17:25:44	29	14	557	430	19.21	30.71
2018-02-08 17:25:45	29	14	573	478	19.76	34.14
2018-02-08 17:25:46	31	15	575	399	18.55	26.60
