time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
2018-02-08 17:25:12	3	2	134	50	44.67	25.00	0023	bus	alive
2018-02-08 17:25:13	10	10	2374	239	237.40	23.90	0024	jump	alive
2018-02-08 17:25:14	17	44	961	12572	56.53	285.73	0025	jump	alive
2018-02-08 17:25:15	19	19	643	8275	33.84	435.53	0026	jump	alive
2018-02-08 17:25:16	21	20	1061	9764	50.52	488.20	0027	jump	alive
2018-02-08 17:25:17	21	15	965	6591	45.95	439.40	0028	jump	alive
2018-02-08 17:25:18	20	15	916	8239	45.80	549.27	0029	jump	alive
2018-02-08 17:25:19	21	8	837	3320	39.86	415.00	0030	bus	alive
2018-02-08 17:25:20	24	9	984	2393	41.00	265.89	0031	bus	alive
2018-02-08 17:25:21	20	5	868	1685	43.40	337.00	0032	bus	alive
2018-02-08 17:25:22	22	9	902	1449	41.00	161.00	0033	bus	alive
2018-02-08 17:25:23	18	5	834	1109	46.33	221.80	0034	bus	alive
2018-02-08 17:25:24	23	7	967	1511	42.04	215.86	0035	bus	alive
2018-02-08 17:25:25	23	7	935	1255	40.65	179.29	0036	bus	alive
2018-02-08 17:25:26	20	7	868	1607	43.40	229.57	0037	bus	alive
2018-02-08 17:25:27	23	8	919	1144	39.96	143.00	0038	98	bus	alive
2018-02-08 17:25:28	25	9	1001	1657	40.04	184.11	0039	98	bus	alive
2018-02-08 17:25:29	19	5	851	1013	44.79	202.60	0040	98	bus	alive
2018-02-08 17:25:30	23	7	967	1015	42.04	145.00	0041	98	bus	alive
2018-02-08 17:25:31	22	6	918	1334	41.73	222.33	0042	98	bus	alive
2018-02-08 17:25:32	22	7	950	1495	43.18	213.57	0043	98	bus	alive
2018-02-08 17:25:33	20	6	868	1558	43.40	259.67	0044	98	bus	alive
2018-02-08 17:25:34	22	7	950	1239	43.18	177.00	0045	98	bus	alive
2018-02-08 17:25:35	23	7	935	1479	40.65	211.29	0046	98	bus	alive
2018-02-08 17:25:36	22	8	902	2760	41.00	345.00	0047	98	bus	alive
2018-02-08 17:25:37	26	8	4794	2408	184.38	301.00	0048	98	bus	alive
2018-02-08 17:25:38	30	13	606	701	20.20	53.92	0049	98	bus	alive
2018-02-08 17:25:39	29	14	1469	366	50.66	26.14	0050	98	bus	alive
2018-02-08 17:25:40	29	14	573	526	19.76	37.57	0051	98	bus	alive
2018-02-08 17:25:41	28	13	540	381	19.29	29.31	0052	98	bus	alive
2018-02-08 17:25:42	29	15	557	383	19.21	25.53	0053	98	bus	alive
2018-02-08 17:25:43	31	14	591	398	19.06	28.43	0054	98	bus	alive
2018-02-08 17:25:44	29	14	557	430	19.21	30.71	0055	98	bus	alive
2018-02-08 17:25:45	29	14	573	478	19.76	34.14	0056	98	bus	alive
2018-02-08 17:25:46	31	15	575	399	18.55	26.60	0057	98	bus	alive
2018-02-08 17:25:47	28	14	540	494	19.29	35.29	0058	98	bus	alive
2018-02-08 17:25:48	31	14	591	462	19.06	33.00	0059	98	bus	alive
2018-02-08 17:25:49	30	14	574	462	19.13	33.00	0060	98	bus	alive
2018-02-08 17:25:50	27	13	523	477	19.37	36.69	0061	98	bus	alive
2018-02-08 17:25:51	28	16	556	5280	19.86	330.00	0062	98	bus	alive
2018-02-08 17:25:52	26	15	522	9071	20.08	604.73	0063	98	jump	alive
2018-02-08 17:25:53	27	14	523	7358	19.37	525.57	0064	98	jump	alive
2018-02-08 17:25:54	23	13	455	7949	19.78	611.46	0065	98	jump	alive
2018-02-08 17:25:55	27	15	555	8767	20.56	584.47	0066	98	jump	alive
2018-02-08 17:25:56	28	16	524	9696	18.71	606.00	0067	98	jump	alive
2018-02-08 17:25:57	27	19	539	10675	19.96	561.84	0068	98	jump	alive
2018-02-08 17:25:58	30	20	590	11044	19.67	552.20	0069	97	jump	alive
2018-02-08 17:25:59	27	21	555	12549	20.56	597.57	0070	97	jump	alive
2018-02-08 17:26:00	33	21	1361	13237	41.24	630.33	0071	97	jump	alive
2018-02-08 17:26:01	32	20	1680	9796	52.50	489.80	0072	97	jump	alive
2018-02-08 17:26:02	36	20	1636	10244	45.44	512.20	0073	97	jump	alive
2018-02-08 17:26:03	29	13	1277	8221	44.03	632.38	0074	97	jump	alive
2018-02-08 17:26:04	33	12	1313	8060	39.79	671.67	0075	97	jump	alive
2018-02-08 17:26:05	32	12	1392	7884	43.50	657.00	0076	97	jump	alive
2018-02-08 17:26:06	35	14	1379	7550	39.40	539.29	0077	97	jump	alive
2018-02-08 17:26:07	33	11	1425	6827	43.18	620.64	0078	97	jump	alive
2018-02-08 17:26:08	34	13	1410	7453	41.47	573.31	0079	97	jump	alive
2018-02-08 17:26:09	34	12	1522	7052	44.76	587.67	0080	97	jump	alive
2018-02-08 17:26:10	34	13	1586	7293	46.65	561.00	0081	97	jump	alive
2018-02-08 17:26:11	35	11	1427	6475	40.77	588.64	0082	97	jump	alive
2018-02-08 17:26:12	33	12	1473	6524	44.64	543.67	0083	97	jump	alive
2018-02-08 17:26:13	32	12	1392	7036	43.50	586.33	0084	97	jump	alive
2018-02-08 17:26:14	34	11	1426	6123	41.94	556.64	0085	97	jump	alive
2018-02-08 17:26:15	32	12	1360	5836	42.50	486.33	0086	97	jump	alive
2018-02-08 17:26:16	32	11	1344	4555	42.00	414.09	0087	97	jump	alive
2018-02-08 17:26:17	33	11	1409	4475	42.70	406.82	0088	97	jump	alive
2018-02-08 17:26:18	32	12	1328	3676	41.50	306.33	0089	97	jump	alive
2018-02-08 17:26:19	28	10	1260	3786	45.00	378.60	0090	97	jump	alive
2018-02-08 17:26:20	30	11	1262	3595	42.07	326.82	0091	97	jump	alive
2018-02-08 17:26:21	29	11	1229	3435	42.38	312.27	0092	97	jump	alive
2018-02-08 17:26:22	27	10	1291	3434	47.81	343.40	0093	97	jump	alive
2018-02-08 17:26:23	28	10	1276	3194	45.57	319.40	0094	97	jump	alive
2018-02-08 17:26:24	29	10	1373	3834	47.34	383.40	0095	97	jump	alive
2018-02-08 17:26:25	30	12	1422	3740	47.40	311.67	0096	97	jump	alive
2018-02-08 17:26:26	28	11	1308	4379	46.71	398.09	0097	97	jump	alive
2018-02-08 17:26:27	29	9	1293	4777	44.59	530.78	0098	97	jump	alive
